Aggregation analysis,PioViewer 1.10.24.2
File, D:\Pio Solver\Analysis\3BP[100BB] [(Zeros)SB17%vsBU18%(to BB)][95 flops]\2s3dTc.cfr
Action Line,Root
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 2346 Freq,BET 2346 EV,BET 1241 Freq,BET 1241 EV,BET 578 Freq,BET 578 EV,CHECK Freq,CHECK EV
Ks 8s 2d,100,52.94,809.389,89.9371,47.06,749.53,93.6854,2.59,1056.85,16.05,1025.05,33.28,919.95,48.09,647.59
4c 2s 2d,100,56.17,935.657,97.9918,43.83,613.257,82.2978,2.39,919.91,45.99,1043.16,24.30,977.24,27.32,719.04
9c 3d 2s,100,53.79,756.327,82.7142,46.21,797.458,101.508,1.69,909.99,29.03,964.33,5.34,873.08,63.94,648.08
Tc 3d 2s,100,56.86,893.674,92.4519,43.14,652.334,88.9509,3.88,969.69,51.39,944.92,34.13,886.81,10.60,639.43
6c 4d 2s,100,51.58,681.953,77.7711,48.42,878.457,106.722,15.05,946.31,3.24,912.64,3.21,849.83,78.50,614.90
9s 4s 2s,100,52.39,743.734,83.5071,47.61,819.012,101.191,0.14,868.39,0.65,967.23,2.46,925.76,96.75,737.43
Kd 4s 2s,100,53.32,777.274,85.7422,46.68,783.656,98.7623,1.66,1065.00,19.62,1033.27,8.08,917.33,70.64,683.37
9c 5d 2s,100,52.27,774.45,87.1548,47.73,777.906,95.8711,3.90,917.73,36.79,975.59,3.06,886.39,56.25,626.86
6d 5s 2s,100,50.42,677.092,78.9896,49.58,886.516,105.186,12.62,938.80,3.58,927.59,4.32,845.51,79.48,615.10
8d 5s 2s,100,50.11,698.491,81.994,49.89,862.26,101.667,7.08,952.51,16.21,933.01,4.65,861.10,72.07,610.30
Td 6s 2s,100,53.66,821.066,90.0027,46.34,732.853,93.0333,10.13,944.43,39.06,946.37,13.18,890.41,37.63,633.46
Ks 7d 2s,100,52.83,800.87,89.1672,47.17,757.857,94.5155,1.49,1062.28,9.53,1036.12,42.86,919.82,46.11,633.20
Js 7s 2s,100,54.83,804.661,86.3262,45.17,759.627,98.9249,0.21,958.07,0.85,1049.65,11.48,978.42,87.46,779.10
Ac 8d 2s,100,58.45,940.215,94.6174,41.55,614.578,87.0141,0.53,1007.11,5.64,1025.62,90.44,941.93,3.39,741.87
Ts 8s 2s,100,53.79,784.869,85.8386,46.21,776.684,98.8593,0.16,897.13,0.71,997.52,10.74,945.69,88.39,763.42
Kc Jd 2s,100,59.76,944.338,92.9573,40.24,614.119,89.7682,0.46,1083.87,2.18,1038.66,80.00,970.92,17.37,806.37
Jc Td 2s,100,60.86,961.189,92.9068,39.14,594.573,89.3521,1.72,1144.74,9.40,1058.36,87.28,950.63,1.60,768.34
Qc Td 2s,100,61.49,998.171,95.4896,38.51,559.672,85.4878,0.69,1118.94,3.22,1100.83,94.86,995.95,1.24,833.94
Js 4s 3d,100,56.09,786.029,82.4343,43.91,770.241,103.184,6.04,1007.15,11.72,925.82,33.11,871.50,49.14,667.95
8s 5s 3d,100,50.35,723.214,84.4994,49.65,838.524,99.3371,14.19,994.84,12.70,950.31,4.55,869.27,68.57,615.27
Ks 9s 3d,100,54.25,834.565,90.4883,45.75,725.747,93.3185,7.92,1082.49,15.45,1006.04,24.98,935.24,51.65,696.58
Js 3s 3d,100,59.60,973.49,96.0748,40.40,580.369,84.5112,1.84,1133.60,17.34,1072.31,75.84,960.57,4.97,766.73
9s 4d 3s,100,51.71,703.461,80.0301,48.29,856.546,104.329,9.76,960.35,10.77,933.32,4.22,863.81,75.26,628.29
8d 4s 3s,100,50.43,674.014,78.6264,49.57,886.037,105.135,3.41,949.57,13.73,918.33,4.19,853.76,78.68,609.89
Qc 5d 3s,100,57.34,897.878,92.1131,42.66,648.156,89.3707,1.27,987.14,29.50,955.88,64.33,890.27,4.90,625.45
Ad 5s 3s,100,57.50,857.068,87.6833,42.50,708.907,98.1131,10.67,1143.65,3.72,1060.78,21.42,937.19,64.19,770.91
Ac 6d 3s,100,58.10,899.471,91.0749,41.90,657.326,92.2715,0.42,987.11,1.58,968.34,92.00,907.94,6.01,745.46
7d 6s 3s,100,48.08,602.393,73.6982,51.92,962.811,109.085,5.19,841.81,2.47,883.74,3.06,825.14,89.28,573.06
As 6s 3s,100,55.67,796.921,84.2032,44.33,772.697,102.538,0.19,927.63,0.53,1049.39,0.72,963.06,98.56,794.10
Ac 7d 3s,100,57.73,887.575,90.4423,42.27,668.293,92.9956,0.54,1052.00,1.94,959.31,86.76,904.65,10.76,728.73
8d 7s 3s,100,49.43,678.125,80.7037,50.57,883.875,102.808,8.07,946.60,10.55,929.84,4.36,867.37,77.02,604.82
Qd 7s 3s,100,55.37,839.253,89.1537,44.63,714.162,94.1366,2.27,1024.01,8.64,994.82,62.42,899.14,26.67,632.93
Tc 9d 3s,100,56.02,902.754,94.7878,43.98,643.613,86.0901,1.26,995.48,50.85,965.64,33.65,914.61,14.25,642.14
As Jd 3s,100,62.99,912.749,85.2413,37.01,651.488,103.54,2.26,1001.00,4.50,1021.36,44.99,969.90,48.26,845.21
Kc Jd 3s,100,59.33,934.876,92.685,40.67,622.566,90.052,0.48,1084.14,2.20,1032.22,82.13,958.34,15.20,789.32
Ks Js 3s,100,56.39,839.822,87.6085,43.61,726.685,98.0163,0.21,1034.87,1.03,1112.67,8.67,1015.12,90.10,819.40
Qd Ts 3s,100,59.90,925.149,90.8577,40.10,634.137,93.0147,5.84,1130.81,8.34,1055.89,57.38,957.48,28.44,779.36
Js 5s 4d,100,55.37,790.069,83.9401,44.63,764.515,100.757,5.05,973.77,14.15,921.09,38.13,870.49,42.66,652.99
As Js 4d,100,62.46,899.579,84.7149,37.54,662.769,103.864,2.83,982.94,4.66,993.83,51.29,946.62,41.21,824.63
Qc 4s 4d,100,58.98,958.161,95.5632,41.02,592.515,84.9662,0.48,1043.34,4.30,1070.71,93.48,956.03,1.75,772.28
